Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,ENT-DC1-BORDER1,Ethernet49/1,10.1.0.121/31,spine,ENT-DC1-SPINE1,Ethernet7/1,10.1.0.120/31
l3leaf,ENT-DC1-BORDER1,Ethernet50/1,10.1.0.123/31,spine,ENT-DC1-SPINE2,Ethernet7/1,10.1.0.122/31
l3leaf,ENT-DC1-BORDER2,Ethernet49/1,10.1.0.125/31,spine,ENT-DC1-SPINE1,Ethernet8/1,10.1.0.124/31
l3leaf,ENT-DC1-BORDER2,Ethernet50/1,10.1.0.127/31,spine,ENT-DC1-SPINE2,Ethernet8/1,10.1.0.126/31
l3leaf,ENT-DC1-LEAF1,Ethernet49/1,10.1.0.1/31,spine,ENT-DC1-SPINE1,Ethernet1/1,10.1.0.0/31
l3leaf,ENT-DC1-LEAF1,Ethernet50/1,10.1.0.3/31,spine,ENT-DC1-SPINE2,Ethernet1/1,10.1.0.2/31
l3leaf,ENT-DC1-LEAF2,Ethernet49/1,10.1.0.5/31,spine,ENT-DC1-SPINE1,Ethernet2/1,10.1.0.4/31
l3leaf,ENT-DC1-LEAF2,Ethernet50/1,10.1.0.7/31,spine,ENT-DC1-SPINE2,Ethernet2/1,10.1.0.6/31
l3leaf,ENT-DC1-LEAF3,Ethernet49/1,10.1.0.9/31,spine,ENT-DC1-SPINE1,Ethernet3/1,10.1.0.8/31
l3leaf,ENT-DC1-LEAF3,Ethernet50/1,10.1.0.11/31,spine,ENT-DC1-SPINE2,Ethernet3/1,10.1.0.10/31
l3leaf,ENT-DC1-LEAF4,Ethernet49/1,10.1.0.13/31,spine,ENT-DC1-SPINE1,Ethernet4/1,10.1.0.12/31
l3leaf,ENT-DC1-LEAF4,Ethernet50/1,10.1.0.15/31,spine,ENT-DC1-SPINE2,Ethernet4/1,10.1.0.14/31
l3leaf,ENT-DC1-LEAF5,Ethernet49/1,10.1.0.17/31,spine,ENT-DC1-SPINE1,Ethernet5/1,10.1.0.16/31
l3leaf,ENT-DC1-LEAF5,Ethernet50/1,10.1.0.19/31,spine,ENT-DC1-SPINE2,Ethernet5/1,10.1.0.18/31
l3leaf,ENT-DC1-LEAF6,Ethernet49/1,10.1.0.21/31,spine,ENT-DC1-SPINE1,Ethernet6/1,10.1.0.20/31
l3leaf,ENT-DC1-LEAF6,Ethernet50/1,10.1.0.23/31,spine,ENT-DC1-SPINE2,Ethernet6/1,10.1.0.22/31
