Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC-BORDER1,Ethernet49/1,10.0.1.249/31,spine,DC-SPINE1,Ethernet7/1,10.0.1.248/31
l3leaf,DC-BORDER1,Ethernet50/1,10.0.1.251/31,spine,DC-SPINE2,Ethernet7/1,10.0.1.250/31
l3leaf,DC-BORDER2,Ethernet49/1,10.0.1.253/31,spine,DC-SPINE1,Ethernet8/1,10.0.1.252/31
l3leaf,DC-BORDER2,Ethernet50/1,10.0.1.255/31,spine,DC-SPINE2,Ethernet8/1,10.0.1.254/31
l3leaf,DC-LEAF1,Ethernet49/1,10.0.0.1/31,spine,DC-SPINE1,Ethernet1/1,10.0.0.0/31
l3leaf,DC-LEAF1,Ethernet50/1,10.0.0.3/31,spine,DC-SPINE2,Ethernet1/1,10.0.0.2/31
l3leaf,DC-LEAF2,Ethernet49/1,10.0.0.5/31,spine,DC-SPINE1,Ethernet2/1,10.0.0.4/31
l3leaf,DC-LEAF2,Ethernet50/1,10.0.0.7/31,spine,DC-SPINE2,Ethernet2/1,10.0.0.6/31
l3leaf,DC-LEAF3,Ethernet49/1,10.0.0.9/31,spine,DC-SPINE1,Ethernet3/1,10.0.0.8/31
l3leaf,DC-LEAF3,Ethernet50/1,10.0.0.11/31,spine,DC-SPINE2,Ethernet3/1,10.0.0.10/31
l3leaf,DC-LEAF4,Ethernet49/1,10.0.0.13/31,spine,DC-SPINE1,Ethernet4/1,10.0.0.12/31
l3leaf,DC-LEAF4,Ethernet50/1,10.0.0.15/31,spine,DC-SPINE2,Ethernet4/1,10.0.0.14/31
